Date,Open,High,Low,Close,Volume
2021-12-23,2998.02,3000.7,2980.91,2998.17,483838000
2021-12-24,3009.48,3025.77,3009.48,3012.43,537548000
2021-12-27,3013.94,3017.31,2999.3,2999.55,475363000
2021-12-28,3006.77,3020.29,2991.55,3020.24,607046000
2021-12-29,3002.9,3007.72,2988.67,2993.29,545831000
2021-12-30,2999.75,3005.36,2975.74,2977.65,461038000
2022-01-03,2998.32,3010.77,2979.42,2988.77,435825000
2022-01-04,2991.97,2995.25,2973.08,2989.24,621549000
2022-01-05,2984.05,2986.2,2936.73,2953.97,787346000
2022-01-06,2925.4,2952.54,2915.38,2920.53,786045000
2022-01-07,2933.78,2959.03,2933.1,2954.89,546172000
2022-01-10,2947.37,2951.12,2910.9,2926.72,477399000
2022-01-11,2930.93,2943.57,2909.82,2927.38,566171000
2022-01-12,2950.78,2972.58,2950.31,2972.48,519500000
2022-01-13,2979.91,2982.14,2958.39,2962.09,604870000
2022-01-14,2937.61,2944.97,2914.73,2921.92,532668000
2022-01-17,2918.55,2918.61,2875.98,2890.1,593260000
2022-01-18,2898.98,2902.79,2857.26,2864.24,554040000
2022-01-19,2840.34,2871.79,2832.18,2842.28,463829000
2022-01-20,2842.28,2862.7,2830.97,2862.68,395669000
2022-01-21,2837.49,2847.95,2817.11,2834.29,532753000
2022-01-24,2823.76,2828.11,2780.68,2792,473993000
2022-01-25,2786.41,2789.62,2703.99,2720.39,639958000
